FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI GoldSetMethodID Rank - All Ranks	LSI GoldSetMethodID Rank - Best Rank
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)	366	
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	378	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	555	
1646058	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	19	19
 	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	31	
 	2365	org.gjt.sp.jedit.search.HyperSearchResults.KeyHandler.keyPressed(KeyEvent)	43	
 	2366	org.gjt.sp.jedit.search.HyperSearchResults.MouseHandler.mousePressed(MouseEvent)	91	
 	2369	org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction.actionPerformed(ActionEvent)	127	
1649033	2031	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(View,String,int,boolean)	139	62
 	2032	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Dialog,View,String,int,boolean)	114	
 	5914	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(View,String,int,boolean,boolean)	85	
 	5915	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Dialog,View,String,int,boolean,boolean)	84	
 	5922	org.gjt.sp.jedit.browser.VFSFileChooserDialog.getDefaultTitle()	4323	
 	5923	org.gjt.sp.jedit.browser.VFSFileChooserDialog._init(View,String,int,boolean,boolean)	245	
 	4788	org.gjt.sp.jedit.search.SearchDialog.MultiFileActionHandler.actionPerformed(ActionEvent)	62	
1654543	5703	org.gjt.sp.jedit.gui.VariableGridLayout.getLayoutSize(Container,LayoutSize)	5887	5887
1658252	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)	300	154
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)	461	
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)	462	
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createSpanRule(int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(char,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(String,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(int,char[],String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	4144	org.gjt.sp.jedit.syntax.ParserRule.createEOLSpanRule(int,String,ParserRuleSet,byte,byte)	209	
 	4145	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(char,int,String,ParserRuleSet,byte,byte,boolean)	341	
 	4146	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(String,int,String,ParserRuleSet,byte,byte,boolean)	313	
 	4147	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(int,char[],String,ParserRuleSet,byte,byte,boolean)	317	
 	4148	org.gjt.sp.jedit.syntax.ParserRule.createMarkFollowingRule(int,String,byte,byte)	162	
 	4149	org.gjt.sp.jedit.syntax.ParserRule.createMarkPreviousRule(int,String,byte,byte)	154	
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)	723	
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()	298	
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(int,String,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(char[],int,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	1173	
 	-1	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean,boolean)		
 	5553	org.gjt.sp.jedit.syntax.TokenMarker.matchToken(ParserRule,ParserRule,LineContext)	158	
 	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	867	
 	6139	org.gjt.sp.jedit.syntax.XModeHandler.TagDecl.TagDecl(String,Attributes)	396	
1659666	5494	org.gjt.sp.jedit.TextUtilities.getComplementaryBracket(char,boolean[])	114	114
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	3059	
 	5552	org.gjt.sp.jedit.syntax.TokenMarker.substitute(Matcher,char[])	754	
1663617	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	205	205
1664900	2399	org.gjt.sp.jedit.indent.IndentAction.Collapse.Collapse()	4648	31
 	3667	org.gjt.sp.jedit.indent.OpenBracketIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	35	
 	3669	org.gjt.sp.jedit.indent.OpenBracketIndentRule.handleCollapse(List<IndentAction>,boolean)	31	
 	4580	org.gjt.sp.jedit.indent.RegexpIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	40	
1668893	3462	org.gjt.sp.jedit.MiscUtilities.autodetect(InputStream,Buffer)	172	30
 	750	org.gjt.sp.jedit.bufferio.BufferIORequest.write(Buffer,OutputStream)	30	
1671312	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	17	3
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	3	
 	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	224	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	499	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	290	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	24	
1676041	5500	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean)	14	4
 	5501	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean,boolean)	4	
 	5506	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean)	15	
 	5507	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean,boolean)	5	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	93	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	1055	
 	1529	org.gjt.sp.jedit.options.EditingOptionPane.saveMode()	65	
 	1530	org.gjt.sp.jedit.options.EditingOptionPane.selectMode()	74	
 	1531	org.gjt.sp.jedit.options.EditingOptionPane.updateEnabled()	134	
 	1535	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.load()	54	
 	1536	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.save()	238	
 	5185	org.gjt.sp.jedit.textarea.TextArea.selectWord()	31	
 	5238	org.gjt.sp.jedit.textarea.TextArea.goToNextWord(boolean,boolean)	32	
 	5245	org.gjt.sp.jedit.textarea.TextArea.goToPrevWord(boolean,boolean)	34	
 	5266	org.gjt.sp.jedit.textarea.TextArea.backspaceWord(boolean)	28	
 	5273	org.gjt.sp.jedit.textarea.TextArea.deleteWord(boolean)	29	
 	5405	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doDoubleClick()	40	
1687264	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	174	174
1694133	345	org.gjt.sp.jedit.browser.BrowserView.ParentDirectoryList.processKeyEvent(KeyEvent)	220	107
 	5773	org.gjt.sp.jedit.browser.VFSBrowser.previousDirectory()	986	
 	5774	org.gjt.sp.jedit.browser.VFSBrowser.nextDirectory()	456	
 	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	311	
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	107	
 	5934	org.gjt.sp.jedit.browser.VFSFileNameField.processKeyEvent(KeyEvent)	218	
1708876	3446	org.gjt.sp.jedit.MiscUtilities.getFileExtension(String)	566	566
1708881	5853	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler.mousePressed(MouseEvent)	11	11
1723506	3040	org.gjt.sp.jedit.textarea.JEditTextArea.showPopupMenu()	281	281
1724940	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	376	149
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	149	
1730845	1573	org.gjt.sp.jedit.EditPane.EditPane(View,Buffer,BufferSet.Scope)	11	3
 	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	3	
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	6	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	7	
 	2139	org.gjt.sp.jedit.options.GutterOptionPane.isGutterEnabled()	9	
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)	54	
 	2091	org.gjt.sp.jedit.textarea.Gutter.setBorder(Border)	335	
 	2098	org.gjt.sp.jedit.textarea.Gutter.setFont(Font)	428	
 	2099	org.gjt.sp.jedit.textarea.Gutter.setGutterEnabled(boolean)	129	
 	2110	org.gjt.sp.jedit.textarea.Gutter.getPreferredSize()	114	
 	2125	org.gjt.sp.jedit.textarea.Gutter.setSelectionPopupHandler(GutterPopupHandler)	233	
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	117	
 	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	53	
 	2131	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseDragged(MouseEvent)	71	
 	2132	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.getFoldEndOffset(int)	143	
 	2133	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseReleased(MouseEvent)	319	
1739675	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	5166	5166
1744674	2301	org.gjt.sp.jedit.search.HyperSearchFileNode.getBuffer(View)	14	7
 	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	163	
 	2325	org.gjt.sp.jedit.search.HyperSearchResult.getBuffer(View)	7	
 	2327	org.gjt.sp.jedit.search.HyperSearchResult.goTo(EditPane)	632	
 	2351	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode)	177	
 	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	36	
1747300	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	143	45
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	166	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	135	
 	2138	org.gjt.sp.jedit.options.GutterOptionPane.addFoldStyleChooser()	45	
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.Gutter.getFoldPainterName()		
 	-1	org.gjt.sp.jedit.textarea.Gutter.setFoldPainter(String)		
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)	100	
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	158	
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	5598	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)	466	
 	5599	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	148	
 	5600	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	85	
1748509	2033	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Frame,View,String,int,boolean)	378	24
 	5916	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Frame,View,String,int,boolean,boolean)	856	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	475	
 	2457	org.gjt.sp.jedit.pluginmgr.InstallPanel.loadPluginSet(String)	24	
 	2476	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.restoreSelection(Set<String>,Set<String>)	381	
 	2488	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.StringMapHandler()	425	
 	2489	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.startElement(String,String,String,Attributes)	540	
 	2490	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.ChoosePluginSet()	38	
 	2491	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.updateUI()	487	
 	2492	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.actionPerformed(ActionEvent)	29	
 	2493	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.ClearPluginSet()	51	
 	2494	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.actionPerformed(ActionEvent)	159	
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	489	
 	3358	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.SaveButton()	70	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.saveState(String,StringList)		
 	3360	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.actionPerformed(ActionEvent)	55	
1749475	4914	org.gjt.sp.jedit.options.ShortcutsOptionPane._init()	1	1
 	4916	org.gjt.sp.jedit.options.ShortcutsOptionPane.setFilter()	2	
 	4917	org.gjt.sp.jedit.options.ShortcutsOptionPane.initModels()	39	
 	4922	org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler.mouseClicked(MouseEvent)	45	
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.ShortcutsModel(String,Vector<GrabKeyDialog.KeyBinding[]>)		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.resetFilter()		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setFilter(String)		
 	4925	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getBindings()	5290	
 	4928	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getRowCount()	6249	
 	4929	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getValueAt(int,int)	375	
 	4930	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setValueAt(Object,int,int)	75	
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getFilteredBindingAt(int,int)		
1768638	608	org.gjt.sp.jedit.Buffer.save(View,String)	239	2
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)	143	
 	610	org.gjt.sp.jedit.Buffer.save(View,String,boolean,boolean)	6	
 	1622	org.gjt.sp.jedit.EditServer.handleClient(boolean,boolean,boolean,String,String[])	117	
 	6005	org.gjt.sp.jedit.View.setBuffer(Buffer)	83	
 	6006	org.gjt.sp.jedit.View.setBuffer(Buffer,boolean)	2	
 	6008	org.gjt.sp.jedit.View.goToBuffer(Buffer)	47	
 	6054	org.gjt.sp.jedit.View.WindowHandler.windowActivated(WindowEvent)	4	
 	1056	org.gjt.sp.jedit.gui.CloseDialog.ActionHandler.actionPerformed(ActionEvent)	162	
 	2688	org.gjt.sp.jedit.jEdit.getIntegerProperty(String)	1918	
 	2727	org.gjt.sp.jedit.jEdit.openFiles(View,String,String[])	496	
 	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	46	
 	2747	org.gjt.sp.jedit.jEdit.saveAllBuffers(View,boolean)	5	
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	17	
 	2760	org.gjt.sp.jedit.jEdit.checkBufferStatus(View,boolean)	8	
 	-1	org.gjt.sp.jedit.jEdit.finishStartup(boolean,boolean,String,String[])		
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	3	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	157	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)	780	
1781853	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	13	7
 	2471	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.sort(int)	512	
 	2498	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.EntryCompare(int,int)	5974	
 	-1	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.compare(Object,Object)		
 	2500	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderMouseHandler.mouseClicked(MouseEvent)	7	
 	2506	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.HeaderRenderer(DefaultTableCellRenderer)	558	
 	2507	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)	82	
1788847	682	org.gjt.sp.jedit.Buffer.editSyntaxStyle(JEditTextArea)	1	1
 	5062	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JDialog,SyntaxStyle,String)	7	
 	5063	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JFrame,SyntaxStyle,String)	8	
 	5064	org.gjt.sp.jedit.gui.StyleEditor.initialize(Component,SyntaxStyle,String)	52	
 	5065	org.gjt.sp.jedit.gui.StyleEditor.actionPerformed(ActionEvent)	516	
 	5066	org.gjt.sp.jedit.gui.StyleEditor.ok()	4089	
 	5067	org.gjt.sp.jedit.gui.StyleEditor.cancel()	5288	
 	5068	org.gjt.sp.jedit.gui.StyleEditor.getStyle()	47	
 	5074	org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler.mouseClicked(MouseEvent)	2	
1789707	1632	org.gjt.sp.jedit.io.EncodingServer.hasEncoding(String)	21	3
 	6120	org.gjt.sp.jedit.io.XMLEncodingDetector.getXMLEncoding(String)	3	
1818140	2265	org.gjt.sp.jedit.gui.HistoryText.showPopupMenu(String,int,int)	133	56
 	3229	org.gjt.sp.jedit.gui.ListModelEditor.open(DefaultListModel)	97	
 	3230	org.gjt.sp.jedit.gui.ListModelEditor.createTableModel(DefaultListModel)	73	
 	3231	org.gjt.sp.jedit.gui.ListModelEditor.updatelistModel(DefaultListModel,DefaultTableModel)	56	
1825720	692	org.gjt.sp.jedit.bufferio.BufferAutosaveRequest.run()	95	95
1834620	4748	org.gjt.sp.jedit.search.SearchAndReplace.regexpReplace(SearchMatcher.Match,String)	51	51
1854542	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	3981	63
 	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	63	
1866836	1125	org.gjt.sp.jedit.gui.CompleteWord.completeWord(View)	97	77
 	1140	org.gjt.sp.jedit.gui.CompleteWord.Words.complete(int)	77	
1869978	2816	org.gjt.sp.jedit.jEdit.addBufferToList(Buffer)	159	159
1883809	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	35	35
1887293	6040	org.gjt.sp.jedit.View.loadToolBars()	4	4
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	41	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()	71	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	8	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	254	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	75	
1894235	6040	org.gjt.sp.jedit.View.loadToolBars()	3	3
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	30	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()	24	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	6	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	207	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	100	
1906288	169	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int,int)	135	135
1910061	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	15	15
 	-1	org.gjt.sp.jedit.textarea.TextArea.scrollToCurrent()		
1912735	4837	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.getWidget(View)	1569	64
 	4838	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLengthWidget(View)	64	
 	4839	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.getComponent()	620	
 	4840	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.update()	4051	
 	4841	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.propertiesChanged()	4242	
 	4842	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.handleMessage(EBMessage)	553	
 	4843	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.addNotify()	2109	
 	4844	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.removeNotify()	2064	
 	4845	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.caretUpdate(CaretEvent)	225	
1913979	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	632	632
1923613	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	3	3
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	43	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)	19	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	5	
 	4780	org.gjt.sp.jedit.search.SearchDialog.updateEnabled()	21	
1931333	1145	org.gjt.sp.jedit.gui.CompleteWord.keyTyped(KeyEvent)	128	128
1936518	305	org.gjt.sp.jedit.browser.BrowserCommandsMenu.BrowserCommandsMenu(VFSBrowser,VFSFile[])	4	4
 	5781	org.gjt.sp.jedit.browser.VFSBrowser.rename(String,String)	915	
 	-1	org.gjt.sp.jedit.browser.VFSBrowser.fileProperties()		
 	-1	org.gjt.sp.jedit.gui.FilePropertiesDialog.FilePropertiesDialog(View,VFSBrowser)		
 	1821	org.gjt.sp.jedit.gui.FilePropertiesDialog.createAndShowGUI()	2177	
 	1812	org.gjt.sp.jedit.gui.FilePropertiesDialog.addComponentsToPane()	1733	
 	1813	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanelAll()	181	
 	1814	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanelAll()	59	
 	1815	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanelAll()	2111	
 	1816	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanel()	1951	
 	1817	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanel()	282	
 	1818	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanel()	2112	
 	1819	org.gjt.sp.jedit.gui.FilePropertiesDialog.ok()	328	
 	1820	org.gjt.sp.jedit.gui.FilePropertiesDialog.cancel()	4224	
 	1822	org.gjt.sp.jedit.gui.FilePropertiesDialog.ButtonActionHandler.actionPerformed(ActionEvent)	5365	
1938174	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	11	11
1942313	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	12	12
1947676	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	24	5
 	2347	org.gjt.sp.jedit.search.HyperSearchResults.searchStarted()	5	
 	2349	org.gjt.sp.jedit.search.HyperSearchResults.searchFailed()	67	
 	2350	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode,DefaultMutableTreeNode)	75	
1961989	5576	org.gjt.sp.jedit.options.ToolBarOptionPane._init()	59	50
 	5579	org.gjt.sp.jedit.options.ToolBarOptionPane.reloadButtonList(String)	174	
 	5588	org.gjt.sp.jedit.options.ToolBarOptionPane.ActionHandler.actionPerformed(ActionEvent)	142	
 	65	org.gjt.sp.jedit.gui.AbstractContextOptionPane._init()	50	
 	70	org.gjt.sp.jedit.gui.AbstractContextOptionPane.reloadContextList(String)	58	
 	73	org.gjt.sp.jedit.gui.AbstractContextOptionPane.ActionHandler.actionPerformed(ActionEvent)	140	
1965114	5834	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.getSelectedFiles()	236	79
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	79	
1984000	805	org.gjt.sp.jedit.bufferset.BufferSet.addBufferAt(Buffer,int)	48	48
1984974	6038	org.gjt.sp.jedit.View.propertiesChanged()	3	3
 	5027	org.gjt.sp.jedit.options.StatusBarOptionPane._init()	53	
 	5028	org.gjt.sp.jedit.options.StatusBarOptionPane._save()	76	
1999448	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	126	1
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	92	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	3	
 	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	102	
 	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	1	
2015210	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	86	9
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	9	
2017514	3560	org.gjt.sp.jedit.textarea.MouseHandler.mouseReleased(MouseEvent)	1043	1043
2060078	6045	org.gjt.sp.jedit.View.handleEditPaneUpdate(EditPaneUpdate)	564	60
 	6046	org.gjt.sp.jedit.View.closeDuplicateBuffers(EditPaneUpdate)	60	
2068307	1050	org.gjt.sp.jedit.gui.CloseDialog.CloseDialog(View)	277	62
 	2741	org.gjt.sp.jedit.jEdit.closeBuffer(View,Buffer)	62	
 	623	org.gjt.sp.jedit.Buffer.getPath(Boolean)	4293	
 	668	org.gjt.sp.jedit.Buffer.toString()	502	
 	3438	org.gjt.sp.jedit.MiscUtilities.abbreviate(String)	5307	
 	3508	org.gjt.sp.jedit.MiscUtilities.VarCompressor.VarCompressor()	3177	
 	3509	org.gjt.sp.jedit.MiscUtilities.VarCompressor.compress(String)	6180	
