FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI GoldSetMethodID Rank - All Ranks	LSI GoldSetMethodID Rank - Best Rank
 	-1	org.gjt.sp.jedit.PluginJAR.transitiveClosure(Set<String>,Set<String>)		
 	4281	org.gjt.sp.jedit.PluginJAR.transitiveClosure(String[],List<String>)	100	
 	4282	org.gjt.sp.jedit.PluginJAR.getDependentPlugins()	87	
 	4285	org.gjt.sp.jedit.PluginJAR.activatePluginIfNecessary()	1	
 	4293	org.gjt.sp.jedit.PluginJAR.init()	174	
 	6027	org.gjt.sp.jedit.View.View(Buffer,ViewConfig)	641	
 	1694	org.gjt.sp.jedit.gui.ErrorListDialog.ActionHandler.actionPerformed(ActionEvent)	113	
 	-1	org.gjt.sp.jedit.gui.FloatingWindowContainer.register(DockableWindowManager.Entry)		
 	2707	org.gjt.sp.jedit.jEdit.getPlugin(String,boolean)	11	
 	2711	org.gjt.sp.jedit.jEdit.addPluginJAR(String)	54	
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	305	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.toggleCurrentRow()		
 	3344	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.setValueAt(Object,int,int)	277	
 	3348	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJARWithDialog(PluginJAR)	107	
 	3349	org.gjt.sp.jedit.pluginmgr.ManagePanel.PluginTableModel.unloadPluginJAR(PluginJAR)	112	
 	3368	org.gjt.sp.jedit.pluginmgr.ManagePanel.HelpButton.valueChanged(ListSelectionEvent)	270	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyTyped(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyPressed(KeyEvent)		
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.KeyHandler.keyReleased(KeyEvent)		
 	4352	org.gjt.sp.jedit.pluginmgr.PluginManager.showPluginManager(Frame)	108	
 	4356	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager(Frame)	114	
 	-1	org.gjt.sp.jedit.pluginmgr.PluginManager.PluginManager()		
 	4357	org.gjt.sp.jedit.pluginmgr.PluginManager.init()	109	
 	4679	org.gjt.sp.jedit.pluginmgr.Roster.Remove.unloadPluginJAR(PluginJAR)	182	
1538743	5590	org.gjt.sp.jedit.options.ToolBarEditDialog.ToolBarEditDialog(Component,DefaultComboBoxModel,ToolBarOptionPane.Button)	137	28
 	5595	org.gjt.sp.jedit.options.ToolBarEditDialog.updateList()	28	
1541009	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)	149	37
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	165	
 	-1	org.gjt.sp.jedit.search.PatternSearchMatcher.isMatchingEOL()		
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	126	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	37	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	55	
 	-1	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,Buffer,SearchMatcher,int,int,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchAndReplace.replaceOne(View,Buffer,SearchMatcher.Match,int,String,boolean)		
 	-1	org.gjt.sp.jedit.search.SearchMatcher.isMatchingEOL()		
1541372	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	86	86
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.getSelectedText(Selection)		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold()		
 	-1	org.gjt.sp.jedit.textarea.JEditTextArea.collapseFold(int)		
1542026	2825	org.gjt.sp.jedit.jEdit.MyFocusManager.postProcessKeyEvent(KeyEvent)	5111	5111
1546200	4525	org.gjt.sp.jedit.menu.RecentFilesProvider.update(JMenu)	2	2
1548902	-1	org.gjt.sp.jedit.TextUtilities.join(Collection,String)		682
 	5500	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean)	4004	
 	5506	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean)	3768	
 	5509	org.gjt.sp.jedit.TextUtilities.getCharType(char,String)	3863	
 	5510	org.gjt.sp.jedit.TextUtilities.spacesToTabs(String,int)	5000	
 	5511	org.gjt.sp.jedit.TextUtilities.tabsToSpaces(String,int)	4760	
 	5512	org.gjt.sp.jedit.TextUtilities.format(String,int,int)	972	
 	5517	org.gjt.sp.jedit.TextUtilities.formatParagraph(String,int,int,StringBuilder)	2932	
 	3022	org.gjt.sp.jedit.textarea.JEditTextArea.formatParagraph()	682	
1549282	605	org.gjt.sp.jedit.Buffer.insertFile(View,String)	699	187
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)	187	
 	638	org.gjt.sp.jedit.Buffer.getDefaultProperty(String)	4505	
 	681	org.gjt.sp.jedit.Buffer.finishSaving(View,String,String,String,boolean,boolean)	208	
1560006	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	1	1
1560584	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	401	401
1565447	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	4467	8
 	2305	org.gjt.sp.jedit.search.HyperSearchFileNode.getCount()	77	
 	2306	org.gjt.sp.jedit.search.HyperSearchFileNode.setCount(int)	76	
 	2320	org.gjt.sp.jedit.search.HyperSearchRequest.HyperSearchRequest(View,SearchMatcher,HyperSearchResults,Selection[])	8	
 	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	19	
 	2323	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int)	12	
 	2388	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	47	
 	2389	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes.processNode(DefaultMutableTreeNode)	46	
1569735	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	69	69
1570554	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	129	129
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)	1143	
 	5919	org.gjt.sp.jedit.browser.VFSFileChooserDialog.ok()	203	
1571629	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	19	14
 	5802	org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()	14	
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)	34	
1571752	5260	org.gjt.sp.jedit.textarea.TextArea.userInput(char)	1489	69
 	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	69	
1574587	-1	org.gjt.sp.jedit.buffer.JEditBuffer.getUndoManager()		5
 	2876	org.gjt.sp.jedit.buffer.JEditBuffer.setDirty(boolean)	8	
 	792	org.gjt.sp.jedit.bufferio.BufferSaveRequest.run()	66	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	99	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	5	
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	202	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	326	
 	-1	org.gjt.sp.jedit.buffer.UndoManager.bufferSaved()		
 	5648	org.gjt.sp.jedit.buffer.UndoManager.resetClearDirty()	50	
1575505	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	768	768
 	-1	org.gjt.sp.jedit.textarea.TextArea.joinLines(Selection)		
 	5356	org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)	1227	
1576535	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	121	121
1578785	4256	org.gjt.sp.jedit.PerspectiveManager.savePerspective(boolean)	363	5
 	4260	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.attribute(String,String)	366	
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)	27	
 	614	org.gjt.sp.jedit.Buffer.getAutoReload()	6	
 	615	org.gjt.sp.jedit.Buffer.setAutoReload(boolean)	12	
 	616	org.gjt.sp.jedit.Buffer.getAutoReloadDialog()	5	
 	617	org.gjt.sp.jedit.Buffer.setAutoReloadDialog(boolean)	10	
 	-1	org.gjt.sp.jedit.Buffer.Buffer(String,boolean,boolean,Hashtable)		
 	770	org.gjt.sp.jedit.gui.BufferOptions.BufferOptions(View,Buffer)	501	
 	771	org.gjt.sp.jedit.gui.BufferOptions.ok()	1800	
 	773	org.gjt.sp.jedit.gui.BufferOptions.ActionHandler.actionPerformed(ActionEvent)	4946	
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	376	
 	766	org.gjt.sp.jedit.options.BufferOptionPane.BufferOptionPane()	14	
 	767	org.gjt.sp.jedit.options.BufferOptionPane._init()	39	
 	768	org.gjt.sp.jedit.options.BufferOptionPane._save()	41	
 	769	org.gjt.sp.jedit.options.BufferOptionPane.ActionHandler.actionPerformed(ActionEvent)	3724	
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	29	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	24	
1584436	-1	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int)		
1589360	5404	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)	19	19
 	5409	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)	116	
1593359	2431	org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)	50	50
1593375	1870	org.gjt.sp.jedit.gui.FilteredListModel.FilteredListModel(E)	229	8
 	1871	org.gjt.sp.jedit.gui.FilteredListModel.setList(JList)	1333	
 	1872	org.gjt.sp.jedit.gui.FilteredListModel.getDelegated()	3056	
 	1873	org.gjt.sp.jedit.gui.FilteredListModel.setDelegated(E)	5812	
 	1874	org.gjt.sp.jedit.gui.FilteredListModel.resetFilter()	18	
 	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	40	
 	1876	org.gjt.sp.jedit.gui.FilteredListModel.prepareFilter(String)	8	
 	1877	org.gjt.sp.jedit.gui.FilteredListModel.saveSelection()	5528	
 	1878	org.gjt.sp.jedit.gui.FilteredListModel.restoreSelection(Set<Integer>)	6087	
 	1879	org.gjt.sp.jedit.gui.FilteredListModel.getTrueRow(int)	817	
