FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
1645528	4261	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.skipRemote(String)	85	85
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)	121	
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	124	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	168	
1646058	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	7	7
 	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	10	
 	2365	org.gjt.sp.jedit.search.HyperSearchResults.KeyHandler.keyPressed(KeyEvent)	14	
 	2366	org.gjt.sp.jedit.search.HyperSearchResults.MouseHandler.mousePressed(MouseEvent)	29	
 	2369	org.gjt.sp.jedit.search.HyperSearchResults.RemoveTreeNodeAction.actionPerformed(ActionEvent)		
1649033	2031	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(View,String,int,boolean)	45	29
 	2032	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Dialog,View,String,int,boolean)	41	
 	5914	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(View,String,int,boolean,boolean)	35	
 	5915	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Dialog,View,String,int,boolean,boolean)	34	
 	5922	org.gjt.sp.jedit.browser.VFSFileChooserDialog.getDefaultTitle()	790	
 	5923	org.gjt.sp.jedit.browser.VFSFileChooserDialog._init(View,String,int,boolean,boolean)	66	
 	4788	org.gjt.sp.jedit.search.SearchDialog.MultiFileActionHandler.actionPerformed(ActionEvent)	29	
1654543	5703	org.gjt.sp.jedit.gui.VariableGridLayout.getLayoutSize(Container,LayoutSize)	702	702
1658252	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)	78	33
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)		
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createSpanRule(int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(char,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(String,int,String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSpanRule(int,char[],String,int,String,ParserRuleSet,byte,byte,boolean,boolean,boolean,boolean)		
 	4144	org.gjt.sp.jedit.syntax.ParserRule.createEOLSpanRule(int,String,ParserRuleSet,byte,byte)	49	
 	4145	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(char,int,String,ParserRuleSet,byte,byte,boolean)	93	
 	4146	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(String,int,String,ParserRuleSet,byte,byte,boolean)	86	
 	4147	org.gjt.sp.jedit.syntax.ParserRule.createRegexpEOLSpanRule(int,char[],String,ParserRuleSet,byte,byte,boolean)	87	
 	4148	org.gjt.sp.jedit.syntax.ParserRule.createMarkFollowingRule(int,String,byte,byte)		
 	4149	org.gjt.sp.jedit.syntax.ParserRule.createMarkPreviousRule(int,String,byte,byte)	33	
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)	168	
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(int,String,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	-1	org.gjt.sp.jedit.syntax.ParserRule.ParserRule(char[],int,int,char[],Pattern,int,char[],ParserRuleSet,byte,byte)		
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	251	
 	-1	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean,boolean)		
 	5553	org.gjt.sp.jedit.syntax.TokenMarker.matchToken(ParserRule,ParserRule,LineContext)	34	
 	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	193	
 	6139	org.gjt.sp.jedit.syntax.XModeHandler.TagDecl.TagDecl(String,Attributes)	104	
1659666	5494	org.gjt.sp.jedit.TextUtilities.getComplementaryBracket(char,boolean[])	17	17
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	527	
 	5552	org.gjt.sp.jedit.syntax.TokenMarker.substitute(Matcher,char[])		
1663617	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	45	45
1664900	2399	org.gjt.sp.jedit.indent.IndentAction.Collapse.Collapse()	896	17
 	3667	org.gjt.sp.jedit.indent.OpenBracketIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	19	
 	3669	org.gjt.sp.jedit.indent.OpenBracketIndentRule.handleCollapse(List<IndentAction>,boolean)	17	
 	4580	org.gjt.sp.jedit.indent.RegexpIndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	23	
1668893	3462	org.gjt.sp.jedit.MiscUtilities.autodetect(InputStream,Buffer)		8
 	750	org.gjt.sp.jedit.bufferio.BufferIORequest.write(Buffer,OutputStream)	8	
1671312	2324	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int,DefaultMutableTreeNode)		1
 	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	1	
 	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	75	
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	159	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)	103	
 	4744	org.gjt.sp.jedit.search.SearchAndReplace._replace(View,JEditBuffer,SearchMatcher,int,int,boolean)	10	
1676041	5500	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean)	8	1
 	5501	org.gjt.sp.jedit.TextUtilities.findWordStart(String,int,String,boolean,boolean,boolean)	1	
 	5506	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean)	9	
 	5507	org.gjt.sp.jedit.TextUtilities.findWordEnd(String,int,String,boolean,boolean,boolean)	2	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	38	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	247	
 	1529	org.gjt.sp.jedit.options.EditingOptionPane.saveMode()	26	
 	1530	org.gjt.sp.jedit.options.EditingOptionPane.selectMode()	30	
 	1531	org.gjt.sp.jedit.options.EditingOptionPane.updateEnabled()	54	
 	1535	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.load()	24	
 	1536	org.gjt.sp.jedit.options.EditingOptionPane.ModeProperties.save()	81	
 	5185	org.gjt.sp.jedit.textarea.TextArea.selectWord()		
 	5238	org.gjt.sp.jedit.textarea.TextArea.goToNextWord(boolean,boolean)	16	
 	5245	org.gjt.sp.jedit.textarea.TextArea.goToPrevWord(boolean,boolean)	18	
 	5266	org.gjt.sp.jedit.textarea.TextArea.backspaceWord(boolean)		
 	5273	org.gjt.sp.jedit.textarea.TextArea.deleteWord(boolean)		
 	5405	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doDoubleClick()	20	
1687264	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	50	50
1694133	345	org.gjt.sp.jedit.browser.BrowserView.ParentDirectoryList.processKeyEvent(KeyEvent)		18
 	5773	org.gjt.sp.jedit.browser.VFSBrowser.previousDirectory()		
 	5774	org.gjt.sp.jedit.browser.VFSBrowser.nextDirectory()		
 	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	61	
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	18	
 	5934	org.gjt.sp.jedit.browser.VFSFileNameField.processKeyEvent(KeyEvent)	40	
1708876	3446	org.gjt.sp.jedit.MiscUtilities.getFileExtension(String)	153	153
1708881	5853	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.MouseHandler.mousePressed(MouseEvent)	5	5
1723506	3040	org.gjt.sp.jedit.textarea.JEditTextArea.showPopupMenu()	37	37
1724940	716	org.gjt.sp.jedit.textarea.BufferHandler.contentInserted(JEditBuffer,int,int,int,int)	94	44
 	719	org.gjt.sp.jedit.textarea.BufferHandler.contentRemoved(JEditBuffer,int,int,int,int)	44	
1730845	1573	org.gjt.sp.jedit.EditPane.EditPane(View,Buffer,BufferSet.Scope)		3
 	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	3	
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	4	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	5	
 	2139	org.gjt.sp.jedit.options.GutterOptionPane.isGutterEnabled()	7	
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)		
 	2091	org.gjt.sp.jedit.textarea.Gutter.setBorder(Border)	112	
 	2098	org.gjt.sp.jedit.textarea.Gutter.setFont(Font)	140	
 	2099	org.gjt.sp.jedit.textarea.Gutter.setGutterEnabled(boolean)	51	
 	2110	org.gjt.sp.jedit.textarea.Gutter.getPreferredSize()	44	
 	2125	org.gjt.sp.jedit.textarea.Gutter.setSelectionPopupHandler(GutterPopupHandler)		
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	45	
 	2130	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mousePressed(MouseEvent)	23	
 	2131	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseDragged(MouseEvent)	29	
 	2132	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.getFoldEndOffset(int)	58	
 	2133	org.gjt.sp.jedit.textarea.Gutter.MouseHandler.mouseReleased(MouseEvent)	107	
1739675	6072	org.gjt.sp.jedit.indent.WhitespaceRule.apply(JEditBuffer,int,int,int,List<IndentAction>)	1183	1183
1744674	2301	org.gjt.sp.jedit.search.HyperSearchFileNode.getBuffer(View)	7	4
 	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	47	
 	2325	org.gjt.sp.jedit.search.HyperSearchResult.getBuffer(View)	4	
 	2327	org.gjt.sp.jedit.search.HyperSearchResult.goTo(EditPane)	146	
 	2351	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode)	52	
 	2354	org.gjt.sp.jedit.search.HyperSearchResults.goToSelectedNode(int)	16	
1747300	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	48	18
 	2135	org.gjt.sp.jedit.options.GutterOptionPane._init()	58	
 	2136	org.gjt.sp.jedit.options.GutterOptionPane._save()	47	
 	2138	org.gjt.sp.jedit.options.GutterOptionPane.addFoldStyleChooser()	18	
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.CircleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.Gutter.getFoldPainterName()		
 	-1	org.gjt.sp.jedit.textarea.Gutter.setFoldPainter(String)		
 	2082	org.gjt.sp.jedit.textarea.Gutter.Gutter(TextArea)		
 	2127	org.gjt.sp.jedit.textarea.Gutter.paintLine(Graphics2D,int,int)	54	
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)		
 	-1	org.gjt.sp.jedit.textarea.SquareFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)		
 	5598	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)	123	
 	5599	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	49	
 	5600	org.gjt.sp.jedit.textarea.TriangleFoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)	29	
1748509	2033	org.gjt.sp.jedit.GUIUtilities.showVFSFileDialog(Frame,View,String,int,boolean)	107	5
 	5916	org.gjt.sp.jedit.browser.VFSFileChooserDialog.VFSFileChooserDialog(Frame,View,String,int,boolean,boolean)	226	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	135	
 	2457	org.gjt.sp.jedit.pluginmgr.InstallPanel.loadPluginSet(String)	5	
 	2476	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.restoreSelection(Set<String>,Set<String>)	108	
 	2488	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.StringMapHandler()	123	
 	2489	org.gjt.sp.jedit.pluginmgr.InstallPanel.StringMapHandler.startElement(String,String,String,Attributes)	156	
 	2490	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.ChoosePluginSet()	10	
 	2491	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.updateUI()	140	
 	2492	org.gjt.sp.jedit.pluginmgr.InstallPanel.ChoosePluginSet.actionPerformed(ActionEvent)		
 	2493	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.ClearPluginSet()	14	
 	2494	org.gjt.sp.jedit.pluginmgr.InstallPanel.ClearPluginSet.actionPerformed(ActionEvent)		
 	3328	org.gjt.sp.jedit.pluginmgr.ManagePanel.ManagePanel(PluginManager)	142	
 	3358	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.SaveButton()	20	
 	-1	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.saveState(String,StringList)		
 	3360	org.gjt.sp.jedit.pluginmgr.ManagePanel.SaveButton.actionPerformed(ActionEvent)	17	
1749475	4914	org.gjt.sp.jedit.options.ShortcutsOptionPane._init()	1	1
 	4916	org.gjt.sp.jedit.options.ShortcutsOptionPane.setFilter()	2	
 	4917	org.gjt.sp.jedit.options.ShortcutsOptionPane.initModels()	9	
 	4922	org.gjt.sp.jedit.options.ShortcutsOptionPane.TableMouseHandler.mouseClicked(MouseEvent)	11	
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.ShortcutsModel(String,Vector<GrabKeyDialog.KeyBinding[]>)		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.resetFilter()		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setFilter(String)		
 	4925	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getBindings()	826	
 	4928	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getRowCount()	929	
 	4929	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getValueAt(int,int)	57	
 	4930	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.setValueAt(Object,int,int)		
 	-1	org.gjt.sp.jedit.options.ShortcutsOptionPane.ShortcutsModel.getFilteredBindingAt(int,int)		
1768638	608	org.gjt.sp.jedit.Buffer.save(View,String)		2
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)		
 	610	org.gjt.sp.jedit.Buffer.save(View,String,boolean,boolean)		
 	1622	org.gjt.sp.jedit.EditServer.handleClient(boolean,boolean,boolean,String,String[])		
 	6005	org.gjt.sp.jedit.View.setBuffer(Buffer)	33	
 	6006	org.gjt.sp.jedit.View.setBuffer(Buffer,boolean)	2	
 	6008	org.gjt.sp.jedit.View.goToBuffer(Buffer)		
 	6054	org.gjt.sp.jedit.View.WindowHandler.windowActivated(WindowEvent)	4	
 	1056	org.gjt.sp.jedit.gui.CloseDialog.ActionHandler.actionPerformed(ActionEvent)		
 	2688	org.gjt.sp.jedit.jEdit.getIntegerProperty(String)	523	
 	2727	org.gjt.sp.jedit.jEdit.openFiles(View,String,String[])		
 	2731	org.gjt.sp.jedit.jEdit.openFile(View,String,String,boolean,Hashtable)	15	
 	2747	org.gjt.sp.jedit.jEdit.saveAllBuffers(View,boolean)		
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	7	
 	2760	org.gjt.sp.jedit.jEdit.checkBufferStatus(View,boolean)	5	
 	-1	org.gjt.sp.jedit.jEdit.finishStartup(boolean,boolean,String,String[])		
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	3	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	64	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)		
1781853	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)	5	3
 	2471	org.gjt.sp.jedit.pluginmgr.InstallPanel.PluginTableModel.sort(int)	118	
 	2498	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.EntryCompare(int,int)	974	
 	-1	org.gjt.sp.jedit.pluginmgr.InstallPanel.EntryCompare.compare(Object,Object)		
 	2500	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderMouseHandler.mouseClicked(MouseEvent)	3	
 	2506	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.HeaderRenderer(DefaultTableCellRenderer)	126	
 	2507	org.gjt.sp.jedit.pluginmgr.InstallPanel.HeaderRenderer.getTableCellRendererComponent(JTable,Object,boolean,boolean,int,int)	27	
1788847	682	org.gjt.sp.jedit.Buffer.editSyntaxStyle(JEditTextArea)	1	1
 	5062	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JDialog,SyntaxStyle,String)	5	
 	5063	org.gjt.sp.jedit.gui.StyleEditor.StyleEditor(JFrame,SyntaxStyle,String)	6	
 	5064	org.gjt.sp.jedit.gui.StyleEditor.initialize(Component,SyntaxStyle,String)	21	
 	5065	org.gjt.sp.jedit.gui.StyleEditor.actionPerformed(ActionEvent)	158	
 	5066	org.gjt.sp.jedit.gui.StyleEditor.ok()	864	
 	5067	org.gjt.sp.jedit.gui.StyleEditor.cancel()	1041	
 	5068	org.gjt.sp.jedit.gui.StyleEditor.getStyle()	18	
 	5074	org.gjt.sp.jedit.options.SyntaxHiliteOptionPane.MouseHandler.mouseClicked(MouseEvent)		
1789707	1632	org.gjt.sp.jedit.io.EncodingServer.hasEncoding(String)		3
 	6120	org.gjt.sp.jedit.io.XMLEncodingDetector.getXMLEncoding(String)	3	
1818140	2265	org.gjt.sp.jedit.gui.HistoryText.showPopupMenu(String,int,int)	12	5
 	3229	org.gjt.sp.jedit.gui.ListModelEditor.open(DefaultListModel)	8	
 	3230	org.gjt.sp.jedit.gui.ListModelEditor.createTableModel(DefaultListModel)	6	
 	3231	org.gjt.sp.jedit.gui.ListModelEditor.updatelistModel(DefaultListModel,DefaultTableModel)	5	
1825720	692	org.gjt.sp.jedit.bufferio.BufferAutosaveRequest.run()	6	6
1834620	4748	org.gjt.sp.jedit.search.SearchAndReplace.regexpReplace(SearchMatcher.Match,String)	9	9
1854542	631	org.gjt.sp.jedit.Buffer.setDirty(boolean)	624	9
 	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	9	
1866836	1125	org.gjt.sp.jedit.gui.CompleteWord.completeWord(View)	10	6
 	1140	org.gjt.sp.jedit.gui.CompleteWord.Words.complete(int)	6	
1869978	2816	org.gjt.sp.jedit.jEdit.addBufferToList(Buffer)	68	68
1883809	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	14	14
1887293	6040	org.gjt.sp.jedit.View.loadToolBars()	1	1
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	25	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()		
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	4	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	112	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	43	
1894235	6040	org.gjt.sp.jedit.View.loadToolBars()	1	1
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	16	
 	4755	org.gjt.sp.jedit.search.SearchBar.propertiesChanged()	11	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)	3	
 	4759	org.gjt.sp.jedit.search.SearchBar.setCloseButtonVisibility()	68	
 	4764	org.gjt.sp.jedit.search.SearchBar.KeyHandler.keyPressed(KeyEvent)	38	
1906288	169	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int,int)	50	50
1910061	5219	org.gjt.sp.jedit.textarea.TextArea.centerCaret()	9	9
 	-1	org.gjt.sp.jedit.textarea.TextArea.scrollToCurrent()		
1912735	4837	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.getWidget(View)	302	22
 	4838	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLengthWidget(View)	22	
 	4839	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.getComponent()	140	
 	4840	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.update()	759	
 	4841	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.propertiesChanged()	832	
 	4842	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.handleMessage(EBMessage)		
 	4843	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.addNotify()	391	
 	4844	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.removeNotify()	385	
 	4845	org.gjt.sp.jedit.gui.statusbar.SelectionLengthWidgetFactory.SelectionLengthWidget.SelectionLength.caretUpdate(CaretEvent)	58	
1913979	4768	org.gjt.sp.jedit.search.SearchDialog.setSearchString(String,int)	132	132
1923613	4248	org.gjt.sp.jedit.search.PatternSearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)	3	3
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	19	
 	4732	org.gjt.sp.jedit.search.SearchAndReplace.find(View,Buffer,int,boolean,boolean)	12	
 	4756	org.gjt.sp.jedit.search.SearchBar.find(boolean)		
 	4780	org.gjt.sp.jedit.search.SearchDialog.updateEnabled()	13	
1931333	1145	org.gjt.sp.jedit.gui.CompleteWord.keyTyped(KeyEvent)	32	32
1936518	305	org.gjt.sp.jedit.browser.BrowserCommandsMenu.BrowserCommandsMenu(VFSBrowser,VFSFile[])	2	2
 	5781	org.gjt.sp.jedit.browser.VFSBrowser.rename(String,String)	174	
 	-1	org.gjt.sp.jedit.browser.VFSBrowser.fileProperties()		
 	-1	org.gjt.sp.jedit.gui.FilePropertiesDialog.FilePropertiesDialog(View,VFSBrowser)		
 	1821	org.gjt.sp.jedit.gui.FilePropertiesDialog.createAndShowGUI()	313	
 	1812	org.gjt.sp.jedit.gui.FilePropertiesDialog.addComponentsToPane()	255	
 	1813	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanelAll()		
 	1814	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanelAll()		
 	1815	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanelAll()		
 	1816	org.gjt.sp.jedit.gui.FilePropertiesDialog.createNorthPanel()	289	
 	1817	org.gjt.sp.jedit.gui.FilePropertiesDialog.createCenterPanel()	63	
 	1818	org.gjt.sp.jedit.gui.FilePropertiesDialog.createSouthPanel()	307	
 	1819	org.gjt.sp.jedit.gui.FilePropertiesDialog.ok()	68	
 	1820	org.gjt.sp.jedit.gui.FilePropertiesDialog.cancel()	647	
 	1822	org.gjt.sp.jedit.gui.FilePropertiesDialog.ButtonActionHandler.actionPerformed(ActionEvent)	999	
1938174	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	4	4
1942313	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	5	5
1947676	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	16	4
 	2347	org.gjt.sp.jedit.search.HyperSearchResults.searchStarted()	4	
 	2349	org.gjt.sp.jedit.search.HyperSearchResults.searchFailed()	29	
 	2350	org.gjt.sp.jedit.search.HyperSearchResults.searchDone(DefaultMutableTreeNode,DefaultMutableTreeNode)	32	
1961989	5576	org.gjt.sp.jedit.options.ToolBarOptionPane._init()	34	30
 	5579	org.gjt.sp.jedit.options.ToolBarOptionPane.reloadButtonList(String)	66	
 	5588	org.gjt.sp.jedit.options.ToolBarOptionPane.ActionHandler.actionPerformed(ActionEvent)	57	
 	65	org.gjt.sp.jedit.gui.AbstractContextOptionPane._init()	30	
 	70	org.gjt.sp.jedit.gui.AbstractContextOptionPane.reloadContextList(String)	33	
 	73	org.gjt.sp.jedit.gui.AbstractContextOptionPane.ActionHandler.actionPerformed(ActionEvent)	56	
1965114	5834	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.getSelectedFiles()	20	8
 	5841	org.gjt.sp.jedit.browser.VFSDirectoryEntryTable.processKeyEvent(KeyEvent)	8	
1984000	805	org.gjt.sp.jedit.bufferset.BufferSet.addBufferAt(Buffer,int)	19	19
1984974	6038	org.gjt.sp.jedit.View.propertiesChanged()	2	2
 	5027	org.gjt.sp.jedit.options.StatusBarOptionPane._init()	26	
 	5028	org.gjt.sp.jedit.options.StatusBarOptionPane._save()	36	
1999448	717	org.gjt.sp.jedit.textarea.BufferHandler.preContentInserted(JEditBuffer,int,int,int,int)	60	1
 	718	org.gjt.sp.jedit.textarea.BufferHandler.preContentRemoved(JEditBuffer,int,int,int,int)	46	
 	723	org.gjt.sp.jedit.textarea.BufferHandler.getReadyToBreakFold(int)	3	
 	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	50	
 	1262	org.gjt.sp.jedit.textarea.DisplayManager.expandFold(int,boolean)	1	
2015210	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	29	3
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	3	
2017514	3560	org.gjt.sp.jedit.textarea.MouseHandler.mouseReleased(MouseEvent)	143	143
2060078	6045	org.gjt.sp.jedit.View.handleEditPaneUpdate(EditPaneUpdate)	101	101
 	6046	org.gjt.sp.jedit.View.closeDuplicateBuffers(EditPaneUpdate)		
2068307	1050	org.gjt.sp.jedit.gui.CloseDialog.CloseDialog(View)		29
 	2741	org.gjt.sp.jedit.jEdit.closeBuffer(View,Buffer)	29	
 	623	org.gjt.sp.jedit.Buffer.getPath(Boolean)	944	
 	668	org.gjt.sp.jedit.Buffer.toString()	155	
 	3438	org.gjt.sp.jedit.MiscUtilities.abbreviate(String)	1181	
 	3508	org.gjt.sp.jedit.MiscUtilities.VarCompressor.VarCompressor()		
 	3509	org.gjt.sp.jedit.MiscUtilities.VarCompressor.compress(String)	1380	
 	4688	org.gjt.sp.jedit.options.SaveBackupOptionPane._init()	32	
