FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM+Dyn GoldSetMethodID Rank - All Ranks	VSM+Dyn GoldSetMethodID Rank - Best Rank
 	5511	org.gjt.sp.jedit.TextUtilities.tabsToSpaces(String,int)		
 	5512	org.gjt.sp.jedit.TextUtilities.format(String,int,int)	141	
 	5517	org.gjt.sp.jedit.TextUtilities.formatParagraph(String,int,int,StringBuilder)	436	
 	3022	org.gjt.sp.jedit.textarea.JEditTextArea.formatParagraph()	128	
1549282	605	org.gjt.sp.jedit.Buffer.insertFile(View,String)		96
 	609	org.gjt.sp.jedit.Buffer.save(View,String,boolean)	96	
 	638	org.gjt.sp.jedit.Buffer.getDefaultProperty(String)	820	
 	681	org.gjt.sp.jedit.Buffer.finishSaving(View,String,String,String,boolean,boolean)		
1560006	4767	org.gjt.sp.jedit.search.SearchDialog.showSearchDialog(View,String,int)	1	1
1560584	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	123	123
1565447	2302	org.gjt.sp.jedit.search.HyperSearchFileNode.goTo(EditPane)	457	3
 	2305	org.gjt.sp.jedit.search.HyperSearchFileNode.getCount()	53	
 	2306	org.gjt.sp.jedit.search.HyperSearchFileNode.setCount(int)	41	
 	2320	org.gjt.sp.jedit.search.HyperSearchRequest.HyperSearchRequest(View,SearchMatcher,HyperSearchResults,Selection[])	9	
 	2321	org.gjt.sp.jedit.search.HyperSearchRequest.run()	14	
 	2323	org.gjt.sp.jedit.search.HyperSearchRequest.doHyperSearch(Buffer,int,int)	3	
 	2388	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	17	
 	2389	org.gjt.sp.jedit.search.HyperSearchResults.ResultCellRenderer.CountNodes.processNode(DefaultMutableTreeNode)	19	
1569735	6129	org.gjt.sp.jedit.syntax.XModeHandler.endElement(String,String,String)	44	44
1570554	5775	org.gjt.sp.jedit.browser.VFSBrowser.setDirectory(String)	23	23
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)		
 	5919	org.gjt.sp.jedit.browser.VFSFileChooserDialog.ok()	56	
1571629	5755	org.gjt.sp.jedit.browser.VFSBrowser.VFSBrowser(View,String,int,boolean,String)	3	3
 	5802	org.gjt.sp.jedit.browser.VFSBrowser.updateFilterEnabled()	4	
 	5804	org.gjt.sp.jedit.browser.VFSBrowser.ActionHandler.actionPerformed(ActionEvent)	8	
1571752	5260	org.gjt.sp.jedit.textarea.TextArea.userInput(char)		21
 	5354	org.gjt.sp.jedit.textarea.TextArea.addExplicitFold(int,int,int,int)	21	
1574587	-1	org.gjt.sp.jedit.buffer.JEditBuffer.getUndoManager()		1
 	2876	org.gjt.sp.jedit.buffer.JEditBuffer.setDirty(boolean)	11	
 	792	org.gjt.sp.jedit.bufferio.BufferSaveRequest.run()	29	
 	1527	org.gjt.sp.jedit.options.EditingOptionPane._init()	36	
 	1528	org.gjt.sp.jedit.options.EditingOptionPane._save()	1	
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()		
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()		
 	-1	org.gjt.sp.jedit.buffer.UndoManager.bufferSaved()		
 	5648	org.gjt.sp.jedit.buffer.UndoManager.resetClearDirty()	58	
1575505	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	235	235
 	-1	org.gjt.sp.jedit.textarea.TextArea.joinLines(Selection)		
 	5356	org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)	362	
1576535	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	69	69
1578785	4256	org.gjt.sp.jedit.PerspectiveManager.savePerspective(boolean)		10
 	4260	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.attribute(String,String)		
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)		
 	614	org.gjt.sp.jedit.Buffer.getAutoReload()	26	
 	615	org.gjt.sp.jedit.Buffer.setAutoReload(boolean)	30	
 	616	org.gjt.sp.jedit.Buffer.getAutoReloadDialog()	10	
 	617	org.gjt.sp.jedit.Buffer.setAutoReloadDialog(boolean)	12	
 	-1	org.gjt.sp.jedit.Buffer.Buffer(String,boolean,boolean,Hashtable)		
 	770	org.gjt.sp.jedit.gui.BufferOptions.BufferOptions(View,Buffer)		
 	771	org.gjt.sp.jedit.gui.BufferOptions.ok()		
 	773	org.gjt.sp.jedit.gui.BufferOptions.ActionHandler.actionPerformed(ActionEvent)		
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	77	
 	766	org.gjt.sp.jedit.options.BufferOptionPane.BufferOptionPane()		
 	767	org.gjt.sp.jedit.options.BufferOptionPane._init()		
 	768	org.gjt.sp.jedit.options.BufferOptionPane._save()		
 	769	org.gjt.sp.jedit.options.BufferOptionPane.ActionHandler.actionPerformed(ActionEvent)		
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	31	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	24	
1584436	-1	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int)		
1589360	5404	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)	18	18
 	5409	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)	67	
1593359	2431	org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)	9	9
1593375	1870	org.gjt.sp.jedit.gui.FilteredListModel.FilteredListModel(E)	34	1
 	1871	org.gjt.sp.jedit.gui.FilteredListModel.setList(JList)	164	
 	1872	org.gjt.sp.jedit.gui.FilteredListModel.getDelegated()		
 	1873	org.gjt.sp.jedit.gui.FilteredListModel.setDelegated(E)		
 	1874	org.gjt.sp.jedit.gui.FilteredListModel.resetFilter()	4	
 	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	19	
 	1876	org.gjt.sp.jedit.gui.FilteredListModel.prepareFilter(String)		
 	1877	org.gjt.sp.jedit.gui.FilteredListModel.saveSelection()	413	
 	1878	org.gjt.sp.jedit.gui.FilteredListModel.restoreSelection(Set<Integer>)	414	
 	1879	org.gjt.sp.jedit.gui.FilteredListModel.getTrueRow(int)	126	
 	1880	org.gjt.sp.jedit.gui.FilteredListModel.getInternal2ExternalRow(int)		
 	1881	org.gjt.sp.jedit.gui.FilteredListModel.getElementAt(int)	415	
 	1882	org.gjt.sp.jedit.gui.FilteredListModel.getSize()	21	
 	1883	org.gjt.sp.jedit.gui.FilteredListModel.contentsChanged(ListDataEvent)		
 	1884	org.gjt.sp.jedit.gui.FilteredListModel.intervalAdded(ListDataEvent)	5	
 	1885	org.gjt.sp.jedit.gui.FilteredListModel.intervalRemoved(ListDataEvent)		
 	3255	org.gjt.sp.jedit.gui.LogViewer.LogViewer()	2	
 	3261	org.gjt.sp.jedit.gui.LogViewer.setFilter()	1	
1593389	5779	org.gjt.sp.jedit.browser.VFSBrowser.delete(VFSFile[])	4	1
 	1847	org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)	1	
 	1861	org.gjt.sp.jedit.io.FileVFS._delete(Object,String,Component)	9	
1593464	1803	org.gjt.sp.jedit.browser.FileCellRenderer.getIconForFile(VFSFile,boolean,boolean)	5	2
